                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9837,                0.52318,                0.94389,                0.97645,                0.91099,                0.95411,                0.72604,                 1.0037,                0.47907,                0.87981,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0016,                0.52848,                0.94544,                 0.9693,                0.91885,                0.94378,                0.72357,                0.97403,                0.47649,                0.88129,               0.000948,               0.000948,               0.000948
                     37,                0.99695,                0.52362,                0.95173,                0.96765,                0.91923,                0.94834,                0.72163,                0.99213,                0.47871,                0.88303,             0.00093385,             0.00093385,             0.00093385
                     38,                 0.9932,                0.52386,                0.95011,                0.97648,                0.91356,                0.95151,                 0.7316,                0.97209,                0.47625,                0.88131,              0.0009197,              0.0009197,              0.0009197
                     39,                0.99329,                0.52004,                0.93954,                0.96882,                0.90364,                0.95162,                0.72791,                0.97501,                0.46792,                0.88031,             0.00090556,             0.00090556,             0.00090556
                     40,                0.98287,                0.51564,                0.94533,                0.96671,                0.89956,                0.95096,                0.73493,                0.94417,                0.45162,                0.87052,             0.00089141,             0.00089141,             0.00089141
                     41,                0.96487,                 0.4997,                0.94109,                0.96348,                0.91542,                0.95526,                0.74876,                0.96369,                0.47201,                0.88097,             0.00087726,             0.00087726,             0.00087726
                     42,                0.96846,                 0.5071,                0.94277,                0.95549,                0.91243,                0.95877,                0.76861,                0.96748,                0.47268,                0.87805,             0.00086312,             0.00086312,             0.00086312
                     43,                0.96887,                 0.5088,                0.94336,                0.96494,                0.92637,                0.96204,                0.72733,                0.97773,                0.46092,                0.87497,             0.00084897,             0.00084897,             0.00084897
                     44,                0.95904,                0.49883,                 0.9366,                0.95147,                0.92228,                0.95814,                0.75462,                0.92601,                0.46485,                0.86446,             0.00083482,             0.00083482,             0.00083482
                     45,                0.95173,                0.49637,                 0.9329,                 0.9679,                  0.919,                0.95157,                0.74574,                0.95204,                0.45553,                0.87439,             0.00082067,             0.00082067,             0.00082067
                     46,                0.95616,                0.49399,                0.93648,                0.96703,                0.91273,                0.95745,                0.76454,                0.93228,                0.44992,                0.87029,             0.00080653,             0.00080653,             0.00080653
                     47,                0.95128,                0.49484,                0.93635,                0.96551,                0.92493,                0.95673,                0.72625,                0.97742,                0.45574,                  0.878,             0.00079238,             0.00079238,             0.00079238
                     48,                0.95763,                0.49918,                0.94149,                0.95578,                0.87046,                0.95929,                0.74073,                0.95131,                0.45509,                0.87091,             0.00077823,             0.00077823,             0.00077823
                     49,                0.94724,                0.49003,                0.93782,                0.96514,                0.92524,                0.96349,                0.73749,                0.96068,                0.44714,                0.87108,             0.00076409,             0.00076409,             0.00076409
                     50,                0.92367,                0.47896,                0.93026,                0.97534,                0.92199,                0.96181,                0.75941,                0.91167,                0.44538,                0.86408,             0.00074994,             0.00074994,             0.00074994
                     51,                0.92331,                0.47946,                0.93315,                0.95996,                0.92962,                 0.9621,                0.76802,                0.93825,                0.43795,                0.86766,             0.00073579,             0.00073579,             0.00073579
                     52,                0.92279,                0.47686,                0.93243,                0.96887,                 0.9216,                0.95648,                0.76808,                0.95811,                0.44622,                 0.8708,             0.00072164,             0.00072164,             0.00072164
                     53,                0.92463,                0.47115,                 0.9314,                0.96613,                0.92923,                0.96077,                0.76004,                0.93067,                0.43894,                0.86622,              0.0007075,              0.0007075,              0.0007075
