                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3294,                 3.0717,                 1.4409,                0.57194,                0.35493,                 0.3208,                 0.1946,                 1.5036,                 3.0944,                 1.6014,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.3363,                 2.2845,                 1.4261,                0.48414,                0.37853,                0.33454,                0.19524,                 1.5163,                 2.7115,                 1.5739,              0.0065966,              0.0065966,              0.0065966
                      3,                 1.4014,                 2.1406,                 1.4842,                0.39406,                0.19806,                0.14086,                0.07051,                 2.0046,                 3.4588,                  2.201,               0.009798,               0.009798,               0.009798
                      4,                 1.4449,                 2.0218,                 1.5255,                0.59679,                0.34936,                0.36298,                0.21736,                 1.5342,                 2.0133,                 1.6295,               0.009703,               0.009703,               0.009703
