                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1458,                 1.4514,                  1.114,                0.77038,                0.57143,                0.56991,                0.28572,                 2.1897,                 1.8719,                 2.4821,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.9772,                  1.179,                 1.0222,                 0.9853,                0.57143,                0.59028,                 0.3708,                 2.2066,                 1.7013,                  2.583,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0354,                 1.2013,                 1.0896,                0.98035,                0.57143,                0.58462,                0.37813,                 1.9472,                 1.6566,                 2.3581,               0.001307,               0.001307,               0.001307
                     38,                 0.9725,                 1.2871,                 1.1019,                0.98746,                0.57143,                0.68414,                 0.3801,                 1.9248,                 1.5917,                 2.2926,              0.0012872,              0.0012872,              0.0012872
                     39,                0.81557,                 1.3306,                0.85953,                0.78385,                0.57143,                0.64568,                0.36066,                  2.034,                 1.5506,                 2.0788,              0.0012674,              0.0012674,              0.0012674
                     40,                0.90178,                 1.0621,                0.97763,                0.98819,                0.57143,                0.66338,                0.39708,                 1.8498,                 1.4701,                 1.8633,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0661,                 1.0832,                 1.0455,                      1,                0.56799,                0.66339,                0.44142,                 1.5699,                 1.3174,                 1.7328,              0.0012278,              0.0012278,              0.0012278
                     42,                0.84829,                 1.3041,                0.85615,                0.98601,                0.57143,                0.67589,                0.42706,                 1.6081,                 1.3522,                 1.7182,               0.001208,               0.001208,               0.001208
                     43,                0.99645,                 1.1402,                 1.0655,                0.97294,                0.57143,                 0.6757,                 0.4208,                 1.7021,                 1.3303,                 1.7341,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1712,                  1.455,                 1.0658,                0.96488,                0.57143,                 0.5939,                0.40182,                  1.883,                  1.469,                  1.797,              0.0011684,              0.0011684,              0.0011684
                     45,                0.84378,                 1.1757,                0.88285,                0.96984,                0.57143,                 0.5774,                0.37793,                 1.8122,                 1.3711,                 1.8544,              0.0011486,              0.0011486,              0.0011486
                     46,                0.92003,                0.94966,                0.99234,                0.98443,                0.57143,                  0.591,                0.37269,                 1.9545,                 1.3753,                 1.9945,              0.0011288,              0.0011288,              0.0011288
                     47,                0.97892,                0.95354,                 1.0434,                0.98452,                0.57143,                0.67817,                 0.3836,                 1.7748,                 1.3165,                 1.8698,               0.001109,               0.001109,               0.001109
                     48,                0.95491,                0.90674,                 1.0087,                0.97815,                0.57143,                0.66154,                0.39529,                 1.7967,                 1.2932,                 1.9289,              0.0010892,              0.0010892,              0.0010892
                     49,                0.86796,                0.77672,                0.97662,                0.98259,                0.57143,                0.68313,                0.37097,                 1.8637,                  1.238,                 1.9144,              0.0010694,              0.0010694,              0.0010694
                     50,                0.84582,                0.78429,                0.92348,                0.98399,                0.57143,                0.68391,                0.35738,                 1.9966,                 1.2628,                 1.9596,              0.0010496,              0.0010496,              0.0010496
                     51,                0.88092,                0.91548,                 1.0157,                0.98319,                0.57143,                0.68931,                0.37082,                 1.9892,                 1.0994,                 1.9071,              0.0010298,              0.0010298,              0.0010298
                     52,                0.85075,                 0.8505,                  1.004,                0.98266,                0.57143,                0.69823,                0.35368,                  1.956,                 1.1758,                 2.0063,                0.00101,                0.00101,                0.00101
                     53,                0.82442,                0.81925,                 1.0038,                0.97768,                0.57143,                0.70946,                0.38406,                 1.8681,                 1.2229,                 1.9231,              0.0009902,              0.0009902,              0.0009902
                     54,                0.93669,                 1.6984,                0.91423,                0.98258,                0.57143,                0.65399,                0.35662,                 1.9629,                 1.2727,                 1.9758,              0.0009704,              0.0009704,              0.0009704
                     55,                0.93374,                0.97414,                   1.01,                      1,                0.69994,                0.71671,                0.35993,                 2.0303,                 1.2599,                 2.0411,              0.0009506,              0.0009506,              0.0009506
                     56,                0.83853,                 1.1727,                0.88489,                0.97694,                0.57143,                0.63542,                0.37931,                  1.951,                 1.2462,                 1.9118,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.7715,                0.81891,                0.91218,                0.97025,                0.57143,                0.64047,                0.37004,                 2.1023,                 1.3699,                 2.1125,               0.000911,               0.000911,               0.000911
                     58,                0.79599,                0.83582,                0.96621,                0.96669,                0.57143,                0.65446,                0.37856,                 1.8809,                 1.3096,                  1.884,              0.0008912,              0.0008912,              0.0008912
                     59,                0.83035,                0.85292,                0.95401,                0.96121,                0.57143,                0.64672,                0.37783,                 1.8718,                 1.2427,                 1.8693,              0.0008714,              0.0008714,              0.0008714
                     60,                0.85809,                0.81913,                0.95371,                0.97186,                0.57143,                0.67701,                0.38773,                 1.8233,                  1.158,                 1.8795,              0.0008516,              0.0008516,              0.0008516
                     61,                0.93737,                0.89253,                  1.004,                0.82372,                 0.6731,                0.69408,                0.40487,                 1.8014,                 1.1868,                 1.9627,              0.0008318,              0.0008318,              0.0008318
                     62,                0.73238,                0.66757,                0.91821,                      1,                0.70256,                0.71718,                0.44775,                 1.6047,                 1.0067,                 1.8132,               0.000812,               0.000812,               0.000812
                     63,                0.78413,                0.77275,                0.95292,                      1,                 0.7057,                0.71713,                0.46058,                 1.6036,                0.98844,                  1.749,              0.0007922,              0.0007922,              0.0007922
