                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8726,                 1.8831,                 1.3643,                0.93813,                0.89635,                0.94283,                 0.7023,                 0.9584,                0.98413,                0.95465,              0.0033185,              0.0033185,              0.0033185
                      2,                 1.7068,                 1.3342,                 1.2352,                0.95971,                0.89827,                0.94488,                0.69001,                0.95018,                0.88857,                0.94581,              0.0066189,              0.0066189,              0.0066189
                      3,                 1.7072,                  1.276,                 1.2368,                0.95582,                0.91346,                  0.951,                0.69136,                0.94553,                0.81349,                0.95488,              0.0098863,              0.0098863,              0.0098863
                      4,                 1.6849,                 1.2487,                 1.2421,                 0.9514,                0.91747,                 0.9525,                0.69372,                 0.9838,                0.74882,                0.95914,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6459,                 1.1965,                 1.2293,                0.95216,                0.94434,                0.95866,                0.74151,                0.84103,                0.65268,                0.91744,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.6074,                 1.1639,                 1.2184,                  0.958,                0.93666,                0.95197,                0.71512,                0.86681,                0.64172,                0.91857,               0.009802,               0.009802,               0.009802
                      7,                 1.5847,                 1.1274,                 1.2085,                0.93553,                0.93666,                0.95071,                0.72579,                 0.8759,                0.66016,                0.94903,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5483,                  1.106,                 1.1965,                0.95687,                0.93954,                 0.9601,                0.74709,                0.82811,                0.59806,                0.92319,               0.009703,               0.009703,               0.009703
                      9,                 1.5419,                 1.0945,                 1.1954,                0.95863,                0.95625,                0.95421,                0.75066,                0.82413,                0.60709,                0.92006,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5239,                 1.0816,                 1.1886,                0.94727,                 0.9482,                0.95772,                0.75368,                0.80549,                0.56708,                0.92548,               0.009604,               0.009604,               0.009604
                     11,                 1.4949,                 1.0523,                 1.1792,                0.96411,                 0.9539,                0.96565,                0.78134,                0.75171,                0.53161,                0.89975,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4937,                 1.0557,                 1.1769,                0.95853,                0.95373,                0.95961,                0.78063,                0.74182,                0.51995,                 0.8973,               0.009505,               0.009505,               0.009505
                     13,                 1.4725,                  1.039,                  1.165,                0.95879,                0.96013,                0.96812,                0.79088,                0.71596,                0.50114,                0.89025,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4637,                 1.0258,                 1.1633,                0.95644,                 0.9453,                0.96553,                0.78061,                0.73979,                0.51542,                0.90679,               0.009406,               0.009406,               0.009406
                     15,                 1.4485,                 1.0089,                  1.152,                0.96098,                0.94553,                0.96871,                0.79988,                0.71765,                 0.5051,                0.89131,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4372,                 1.0053,                 1.1477,                0.96201,                0.94786,                0.96373,                0.78008,                0.73295,                0.51053,                0.89643,               0.009307,               0.009307,               0.009307
