                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54573,                  2.007,                 1.1882,                0.88268,                0.82676,                0.88998,                0.76898,                0.52161,                 1.3458,                 1.1023,             0.00023725,             0.00023725,             0.00023725
                      2,                0.51099,                 1.0692,                  1.147,                0.89776,                0.82315,                0.90081,                 0.7692,                 0.5971,                 1.1448,                 1.1657,             0.00047055,             0.00047055,             0.00047055
                      3,                0.51535,                0.90716,                 1.1512,                0.91238,                0.90824,                0.94029,                0.81932,                0.56833,                0.83588,                 1.1505,             0.00069913,             0.00069913,             0.00069913
                      4,                0.50738,                0.79078,                 1.1399,                0.93779,                0.85688,                 0.9171,                0.75771,                0.62059,                0.78281,                 1.1817,             0.00069279,             0.00069279,             0.00069279
                      5,                0.49754,                0.71008,                 1.1345,                0.93694,                0.93265,                0.95532,                  0.819,                0.53433,                0.54197,                 1.0937,             0.00069279,             0.00069279,             0.00069279
                      6,                0.48741,                0.64107,                 1.1272,                0.92588,                0.89168,                 0.9397,                0.82858,                0.50244,                0.53183,                 1.0479,             0.00068573,             0.00068573,             0.00068573
                      7,                0.47842,                0.60463,                 1.1202,                 0.8843,                0.91526,                0.95019,                 0.8426,                0.47065,                 0.5392,                 1.0347,             0.00067866,             0.00067866,             0.00067866
                      8,                0.47518,                0.57544,                 1.1182,                0.94316,                 0.9383,                0.95909,                0.85806,                0.45813,                0.46486,                 1.0311,             0.00067159,             0.00067159,             0.00067159
                      9,                0.45103,                 0.5404,                 1.1009,                 0.9346,                0.90882,                0.95273,                 0.8675,                0.46464,                0.45749,                 1.0035,             0.00066452,             0.00066452,             0.00066452
                     10,                0.44756,                0.51234,                 1.1024,                0.97754,                0.92529,                0.96442,                0.88426,                0.48425,                0.48881,                 1.0342,             0.00065745,             0.00065745,             0.00065745
                     11,                0.43993,                0.49964,                  1.094,                 0.9644,                0.94489,                0.96597,                0.88641,                 0.4431,                0.42121,                0.99526,             0.00065038,             0.00065038,             0.00065038
                     12,                0.43506,                0.48661,                 1.0916,                0.97285,                0.94498,                0.96624,                0.86187,                0.48755,                0.44294,                 1.0304,             0.00064331,             0.00064331,             0.00064331
                     13,                0.44228,                0.48638,                 1.0959,                0.97618,                0.95689,                0.96948,                0.88958,                0.42715,                0.37399,                0.98236,             0.00063625,             0.00063625,             0.00063625
                     14,                  0.422,                0.46203,                 1.0827,                0.96825,                0.94524,                0.96714,                0.87068,                0.45166,                0.41379,                0.99933,             0.00062918,             0.00062918,             0.00062918
                     15,                0.42524,                0.46638,                 1.0849,                0.96544,                0.95087,                0.96717,                0.88534,                 0.4437,                0.36458,                0.99601,             0.00062211,             0.00062211,             0.00062211
                     16,                0.42299,                0.44586,                 1.0821,                0.97027,                 0.9455,                0.96551,                0.88672,                0.43446,                0.36012,                0.98476,             0.00061504,             0.00061504,             0.00061504
