                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7532,                 6.9279,                0.93879,                0.51288,                0.21889,                0.21528,                 0.0893,                 2.7304,                 3.6718,                0.87652,              0.0033286,              0.0033286,              0.0033286
                      2,                 2.5705,                 1.8578,                0.90267,                 0.4799,                0.21364,                0.22755,                0.10165,                 2.7244,                 1.9606,                0.88447,              0.0065959,              0.0065959,              0.0065959
                      3,                 2.6143,                 1.5121,                0.90978,                0.45087,                0.20169,                0.19767,                0.07907,                 2.8011,                 2.2356,                0.88492,              0.0097973,              0.0097973,              0.0097973
                      4,                 2.5018,                 1.3859,                0.90515,                0.43997,                0.19338,                0.20805,                0.09312,                 2.7349,                 2.4421,                 0.8974,               0.009703,               0.009703,               0.009703
                      5,                 2.3198,                 1.2221,                0.89591,                 0.5479,                0.24238,                0.25513,                0.11171,                 2.5124,                 1.5599,                0.86989,               0.009703,               0.009703,               0.009703
                      6,                 2.2285,                 1.1724,                0.88624,                0.56003,                0.24267,                0.24788,                0.11241,                 2.4173,                 1.5394,                 0.8625,               0.009604,               0.009604,               0.009604
                      7,                 2.1368,                 1.0907,                0.87424,                0.54364,                0.24655,                0.26681,                0.12575,                 2.3977,                 1.5278,                0.86916,               0.009505,               0.009505,               0.009505
                      8,                 2.1152,                 1.0907,                0.87401,                0.57075,                0.25413,                0.28347,                0.13604,                  2.346,                 1.3585,                0.85165,               0.009406,               0.009406,               0.009406
                      9,                 2.0908,                 1.0471,                0.86919,                0.55406,                0.25119,                0.29139,                0.14591,                 2.4034,                 1.3874,                0.84992,               0.009307,               0.009307,               0.009307
                     10,                 2.0434,                 1.0199,                0.86492,                0.58617,                0.25856,                0.28751,                0.14504,                 2.3428,                 1.3481,                0.85245,               0.009208,               0.009208,               0.009208
