1,-1,1307.22,479.29,54.85,94.75,72.7,-1,-1
1,-1,420.96,505.88,114.21,174.28,69.6,-1,-1
1,-1,913.81,480.64,85.0,144.76,69.6,-1,-1
1,-1,633.77,501.04,84.5,144.39,54.6,-1,-1
1,-1,1049.75,481.95,70.63,127.84,48.8,-1,-1
1,-1,1193.65,480.2,54.58,113.6,44.0,-1,-1
1,-1,636.59,549.83,82.53,93.45,38.0,-1,-1
2,-1,1306.09,479.42,54.6,93.43,75.3,-1,-1
2,-1,415.5,505.23,117.14,176.56,70.0,-1,-1
2,-1,911.68,479.38,90.21,146.16,69.7,-1,-1
2,-1,634.03,491.83,82.56,152.91,57.9,-1,-1
2,-1,1048.03,483.65,72.25,125.5,50.1,-1,-1
2,-1,1193.11,480.0,53.74,114.21,42.8,-1,-1
2,-1,635.62,550.95,82.44,92.54,28.5,-1,-1
3,-1,1305.62,479.58,52.68,94.69,70.1,-1,-1
3,-1,408.14,507.52,125.44,173.47,66.8,-1,-1
3,-1,910.56,483.64,86.88,142.21,66.2,-1,-1
3,-1,1047.43,482.83,68.57,125.43,57.2,-1,-1
3,-1,632.15,500.31,83.3,144.07,56.7,-1,-1
3,-1,1192.99,479.12,53.32,113.38,39.0,-1,-1
4,-1,1306.2,479.58,50.98,93.7,72.0,-1,-1
4,-1,406.37,507.56,125.65,173.58,68.8,-1,-1
4,-1,910.65,483.25,86.69,142.68,67.0,-1,-1
4,-1,631.85,499.15,83.62,145.02,60.7,-1,-1
4,-1,1047.36,482.72,69.12,125.62,55.8,-1,-1
4,-1,1192.16,479.1,54.33,114.11,39.0,-1,-1
4,-1,633.95,538.03,83.23,105.01,30.8,-1,-1
5,-1,406.56,505.69,122.38,176.02,68.6,-1,-1
5,-1,1306.24,479.36,49.79,94.81,66.5,-1,-1
5,-1,630.59,494.87,83.82,149.67,66.1,-1,-1
5,-1,910.75,480.72,82.58,143.82,65.5,-1,-1
5,-1,1046.56,482.72,69.35,125.25,54.0,-1,-1
5,-1,1190.92,480.83,55.47,113.56,41.7,-1,-1
6,-1,629.0,501.01,82.99,144.04,65.7,-1,-1
6,-1,403.31,504.64,120.57,177.37,65.5,-1,-1
6,-1,1305.65,479.64,49.58,95.05,62.6,-1,-1
6,-1,909.37,480.53,82.11,144.47,62.3,-1,-1
6,-1,1045.6,480.48,70.92,127.11,55.0,-1,-1
6,-1,1189.03,480.56,57.99,114.35,39.5,-1,-1
6,-1,631.79,550.42,81.76,93.75,27.9,-1,-1
7,-1,398.11,505.54,124.25,177.57,73.0,-1,-1
7,-1,627.21,487.01,83.51,159.06,65.8,-1,-1
7,-1,908.49,479.1,78.59,146.16,64.5,-1,-1
7,-1,1304.54,479.06,50.92,95.29,57.1,-1,-1
7,-1,1044.7,482.06,70.9,125.89,53.7,-1,-1
7,-1,1189.72,480.49,58.07,114.11,44.3,-1,-1
7,-1,629.32,549.24,83.01,95.68,32.9,-1,-1
8,-1,397.25,506.3,128.6,176.27,72.0,-1,-1
8,-1,625.23,494.93,85.31,151.69,66.3,-1,-1
8,-1,906.88,481.05,79.33,145.24,63.1,-1,-1
8,-1,1304.28,479.04,51.96,93.54,62.2,-1,-1
8,-1,1042.64,481.88,68.19,124.1,49.1,-1,-1
8,-1,1189.33,480.79,56.78,112.01,42.4,-1,-1
8,-1,627.85,551.9,84.49,92.75,32.3,-1,-1
9,-1,395.13,508.4,129.02,173.12,68.6,-1,-1
9,-1,625.3,494.87,83.51,150.29,67.8,-1,-1
9,-1,905.9,496.95,79.42,129.69,66.8,-1,-1
9,-1,1304.55,478.0,51.86,95.64,55.2,-1,-1
9,-1,1041.66,482.6,68.45,124.14,50.3,-1,-1
9,-1,1191.84,480.53,52.25,108.7,39.1,-1,-1
9,-1,627.88,551.68,82.5,92.77,28.8,-1,-1
10,-1,394.81,508.51,130.76,173.3,69.2,-1,-1
10,-1,625.24,493.21,83.81,151.86,66.2,-1,-1
10,-1,905.84,497.77,79.59,128.62,66.1,-1,-1
10,-1,1304.65,478.05,52.49,95.63,55.4,-1,-1
10,-1,1041.78,482.47,69.39,124.66,49.7,-1,-1
10,-1,1192.03,480.46,51.27,108.38,35.7,-1,-1
10,-1,627.71,551.79,83.07,92.53,28.1,-1,-1
11,-1,396.32,509.29,131.18,174.19,76.1,-1,-1
11,-1,623.93,495.41,84.29,151.6,64.6,-1,-1
11,-1,905.34,486.04,80.12,139.91,62.9,-1,-1
11,-1,1039.04,482.98,72.21,125.25,54.5,-1,-1
11,-1,1305.04,477.97,51.67,95.14,50.8,-1,-1
11,-1,1184.41,480.82,58.2,111.59,36.1,-1,-1
11,-1,626.86,551.41,82.69,93.54,30.2,-1,-1
12,-1,395.46,504.2,132.47,179.6,79.6,-1,-1
12,-1,902.62,493.8,82.7,133.34,68.4,-1,-1
12,-1,623.47,495.77,85.23,150.75,61.3,-1,-1
12,-1,1037.39,484.65,69.06,126.13,57.4,-1,-1
12,-1,1304.14,477.47,52.58,95.49,47.2,-1,-1
12,-1,1181.02,479.98,61.1,113.2,34.6,-1,-1
13,-1,395.09,502.83,133.56,181.9,80.1,-1,-1
13,-1,901.75,482.63,82.61,147.53,71.6,-1,-1
13,-1,1035.24,486.38,71.49,122.99,64.9,-1,-1
13,-1,622.05,487.08,85.13,158.94,59.7,-1,-1
13,-1,1301.98,477.41,52.97,94.54,42.7,-1,-1
