                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0175,                0.64392,                 1.0564,                0.72669,                0.41887,                0.58296,                0.41794,                0.63402,                   0.47,                0.92869,               0.006634,               0.006634,               0.006634
                     37,                 1.0012,                0.63726,                 1.0482,                0.74536,                0.43227,                0.56024,                0.39268,                0.65427,                0.51168,                0.94007,               0.006535,               0.006535,               0.006535
                     38,                 1.0073,                0.63623,                 1.0521,                0.68463,                0.43932,                0.53224,                0.38516,                 0.6332,                0.49323,                0.93169,               0.006436,               0.006436,               0.006436
                     39,                  1.003,                 0.6328,                 1.0521,                0.56596,                0.51113,                0.53613,                0.37004,                 0.6547,                0.46735,                0.93935,               0.006337,               0.006337,               0.006337
                     40,                  0.991,                0.62242,                 1.0468,                0.60631,                0.51349,                0.58004,                0.39488,                 0.6374,                0.47905,                0.93273,               0.006238,               0.006238,               0.006238
                     41,                 1.0056,                0.62959,                 1.0497,                0.60312,                0.47898,                0.57289,                0.38083,                0.63514,                0.45497,                0.92815,               0.006139,               0.006139,               0.006139
                     42,                0.99447,                0.61844,                  1.043,                0.68466,                0.52003,                0.58675,                 0.4058,                0.63327,                0.46322,                0.92594,                0.00604,                0.00604,                0.00604
                     43,                0.98409,                0.62019,                 1.0432,                0.73718,                0.52419,                0.57449,                 0.3942,                0.63905,                0.45381,                0.93266,               0.005941,               0.005941,               0.005941
                     44,                0.98242,                0.61069,                 1.0448,                0.62696,                0.50762,                0.60191,                0.39384,                0.63411,                 0.4566,                0.93054,               0.005842,               0.005842,               0.005842
                     45,                0.99269,                0.61309,                 1.0415,                0.77037,                0.51596,                 0.6203,                0.43787,                0.64075,                0.44599,                 0.9379,               0.005743,               0.005743,               0.005743
                     46,                 0.9766,                0.61071,                 1.0426,                0.74001,                0.50937,                0.60445,                0.43697,                0.62536,                0.45684,                0.92824,               0.005644,               0.005644,               0.005644
                     47,                0.97914,                0.60142,                 1.0395,                0.80225,                0.52145,                0.61214,                0.42165,                0.62547,                0.43938,                 0.9284,               0.005545,               0.005545,               0.005545
                     48,                0.96805,                0.59868,                 1.0344,                0.74635,                0.51592,                0.61354,                0.42229,                0.61135,                0.43848,                0.91667,               0.005446,               0.005446,               0.005446
                     49,                0.97268,                0.59923,                 1.0379,                0.79641,                0.52628,                0.62117,                0.42022,                0.61072,                0.43929,                0.91606,               0.005347,               0.005347,               0.005347
                     50,                0.96726,                0.59491,                 1.0333,                   0.67,                0.53885,                0.58141,                0.41996,                0.62318,                0.44749,                0.92398,               0.005248,               0.005248,               0.005248
                     51,                0.97248,                0.59966,                 1.0351,                0.72082,                0.53628,                0.58075,                0.42366,                0.62042,                0.44446,                  0.919,               0.005149,               0.005149,               0.005149
                     52,                0.96647,                0.59703,                  1.032,                0.81786,                0.51736,                 0.5658,                0.42383,                0.61472,                0.44508,                 0.9226,                0.00505,                0.00505,                0.00505
                     53,                0.95396,                  0.585,                 1.0273,                0.67431,                0.53971,                0.61848,                0.43715,                0.61894,                0.43464,                0.92565,               0.004951,               0.004951,               0.004951
