                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9716,                 4.0781,                 1.9864,                0.31708,                0.10903,                0.07798,                0.02801,                 2.2456,                 4.1579,                 2.2093,              0.0002356,              0.0002356,              0.0002356
                      2,                 1.9619,                  3.296,                 1.8901,                0.33056,                0.18445,                0.11691,                0.04028,                   2.33,                 3.8971,                 2.1849,             0.00046891,             0.00046891,             0.00046891
                      3,                 1.9716,                 3.1147,                 1.8802,                0.44367,                0.17688,                0.10596,                0.03479,                  2.297,                 3.8119,                 2.2056,             0.00069751,             0.00069751,             0.00069751
                      4,                 1.9119,                 2.9549,                 1.8463,                0.50018,                0.18386,                0.14844,                0.05663,                 2.2506,                 3.5657,                 2.1776,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.8866,                 2.7996,                 1.8027,                0.45333,                0.23168,                0.16707,                0.05612,                 2.3298,                 4.1636,                 2.1548,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.8924,                 2.6654,                 1.8061,                0.54524,                0.21126,                0.19585,                0.07025,                 2.2397,                 2.8767,                 2.1458,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.8448,                 2.6096,                 1.7974,                0.64805,                0.16112,                0.17644,                0.06463,                 2.2367,                 2.8648,                 2.0746,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.8555,                 2.5292,                 1.8074,                0.55021,                0.31582,                0.26877,                0.09863,                 2.1804,                 2.6536,                 2.1084,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.8064,                 2.4493,                 1.7605,                0.61676,                0.25431,                0.24947,                0.09218,                 2.2244,                 2.5355,                 2.1073,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.7908,                 2.4614,                  1.745,                0.63969,                0.22245,                 0.2346,                0.09246,                 2.1339,                 2.5141,                  2.029,             0.00065745,             0.00065745,             0.00065745
                     11,                  1.809,                 2.3687,                 1.7408,                0.65336,                0.24283,                0.28769,                0.11414,                 2.1335,                 2.6456,                 2.0561,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.7546,                 2.3032,                 1.7286,                0.43351,                 0.3517,                0.29891,                0.11819,                 2.1661,                   2.33,                 2.0393,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.7828,                  2.214,                 1.7056,                0.56936,                0.33609,                0.30809,                0.12758,                 2.1794,                 2.2667,                   2.05,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.7372,                 2.2286,                 1.6847,                0.62356,                 0.2712,                0.31008,                0.12213,                 2.1157,                  2.302,                 2.0145,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.7468,                 2.1658,                 1.7007,                0.61177,                0.31498,                0.34772,                0.13622,                 2.1351,                 2.2673,                   2.04,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.7572,                 2.1311,                 1.6826,                0.59317,                0.35243,                0.34128,                0.14181,                 2.1088,                 2.2808,                 2.0315,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.7413,                  2.109,                 1.6909,                0.40135,                0.35586,                0.33398,                0.12379,                 2.1763,                 2.2328,                 2.0895,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.6974,                 2.0969,                 1.6696,                0.54918,                0.38775,                0.35039,                0.12546,                 2.2621,                 2.2115,                 2.1006,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.6996,                 2.0547,                 1.6751,                0.71173,                0.29254,                0.34488,                0.14049,                 2.0997,                 2.1177,                  1.953,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.7252,                 2.0189,                  1.677,                0.39405,                0.35487,                0.30826,                0.12237,                  2.171,                 2.2633,                 2.0631,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.7055,                 2.0528,                 1.6612,                0.53062,                0.41889,                0.35112,                0.14442,                  2.162,                  2.099,                 2.0062,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.6733,                 1.9604,                 1.6307,                0.70107,                0.32416,                0.37595,                0.15057,                 2.1672,                 2.0666,                 2.0516,             0.00057263,             0.00057263,             0.00057263
                     23,                  1.661,                 1.9842,                 1.6501,                0.38076,                0.39315,                0.33874,                0.12748,                 2.2119,                 2.0365,                 2.0756,             0.00056556,             0.00056556,             0.00056556
